locusId	sysName	type	scaffoldId	strand	old_name	desc	GC	nTA	name	begin	end
14195	b0049	1	7023	-	apaH	diadenosinetetraphosphatase (NCBI)	0.5575	26	apaH	50380	51222
14196	b0050	1	7023	-	apaG	hypothetical protein (NCBI)	0.5185	12	apaG	51229	51606
14197	b0051	1	7023	-	ksgA	dimethyladenosine transferase (NCBI)	0.5304	24	rsmA	51609	52430
14198	b0052	1	7023	-	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase (NCBI)	0.5636	29	pdxA	52427	53416
14199	b0053	1	7023	-	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)	0.5385	26	surA	53416	54702
14200	b0054	1	7023	-	imp	organic solvent tolerance protein precursor (NCBI)	0.5138	106	lptD	54755	57109
14201	b0055	1	7023	+	djlA	Dna-J like membrane chaperone protein (NCBI)	0.527	20	djlA	57364	58179
3446137	b4659	7	7023	+	yabP	NA	0.4249	28	NA	NA	NA
14204	b0058	1	7023	-	rluA	pseudouridine synthase for 23S rRNA (position 746) and tRNAphe(position 32) (NCBI)	0.5394	17	rluA	59687	60346
14205	b0059	1	7023	-	hepA	ATP-dependent helicase HepA (NCBI)	0.549	75	rapA	60358	63264
14206	b0060	1	7023	-	polB	DNA polymerase II (NCBI)	0.5536	67	polB	63429	65780
14207	b0061	1	7023	-	araD	L-ribulose-5-phosphate 4-epimerase (NCBI)	0.5532	18	araD	65855	66550
14208	b0062	1	7023	-	araA	L-arabinose isomerase (NCBI)	0.5549	32	araA	66835	68337
14209	b0063	1	7023	-	araB	ribulokinase (NCBI)	0.5802	33	araB	68348	70048
14210	b0064	1	7023	+	araC	DNA-binding transcriptional dual regulator (NCBI)	0.5256	28	araC	70387	71265
14211	b0065	1	7023	+	yabI	conserved inner membrane protein (NCBI)	0.5386	18	yabI	71351	72115
14212	b0066	1	7023	-	thiQ	thiamin transporter subunit (NCBI)	0.5708	18	thiQ	72229	72927
14213	b0067	1	7023	-	thiP	thiamin ABC transporter membrane protein (NCBI)	0.5841	37	thiP	72911	74521
14214	b0068	1	7023	-	tbpA	thiamin transporter subunit (NCBI)	0.5325	27	thiB	74497	75480
14215	b0069	1	7023	-	sgrR	DNA-binding transcriptional regulator (NCBI)	0.5489	43	sgrR	75644	77299
1936206	b4577	6	7023	+	sgrS	small antisense RNA (NCBI)	0.4758	7	sgrS	77367	77593
7497338	b4662	1	7023	+	sgrT	Inhibitor of glucose uptake (RefSeq)	0.4697	4	sgrT	77388	77519
1936207	b0070	1	7023	+	setA	broad specificity sugar efflux system (NCBI)	0.4852	59	setA	77621	78799
14217	b0071	1	7023	-	leuD	isopropylmalate isomerase small subunit (NCBI)	0.5149	15	leuD	78848	79453
14218	b0072	1	7023	-	leuC	isopropylmalate isomerase large subunit (NCBI)	0.5575	34	leuC	79464	80864
14219	b0073	1	7023	-	leuB	3-isopropylmalate dehydrogenase (VIMSS)	0.5549	26	leuB	80867	81958
14220	b0074	1	7023	-	leuA	2-isopropylmalate synthase (NCBI)	0.5299	54	leuA	81958	83529
14221	b0075	1	7023	-	leuL	leu operon leader peptide (NCBI)	0.4713	6	leuL	83622	83708
14222	b0076	1	7023	+	leuO	probable transcriptional activator for leuABCD operon (VIMSS)	0.4571	41	leuO	84368	85312
1936210	b0077	1	7023	+	ilvI	acetolactate synthase III large subunit (NCBI)	0.5293	53	ilvI	85630	87354
14224	b0078	1	7023	+	ilvH	acetolactate synthase small subunit (NCBI)	0.502	15	ilvH	87357	87848
14226	b0080	1	7023	+	fruR	DNA-binding transcriptional dual regulator (NCBI)	0.5493	21	cra	88028	89032
14227	b0081	1	7023	+	mraZ	hypothetical protein (NCBI)	0.5207	12	mraZ	89634	90092
14228	b0082	1	7023	+	mraW	S-adenosyl-methyltransferase (NCBI)	0.552	20	rsmH	90094	91035
14229	b0083	1	7023	+	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)	0.5027	7	ftsL	91032	91397
14230	b0084	1	7023	+	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)	0.5399	73	ftsI	91413	93179
14231	b0085	1	7023	+	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)	0.5659	40	murE	93166	94653
14232	b0086	1	7023	+	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)	0.5511	34	murF	94650	96008
14233	b0087	1	7023	+	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)	0.5337	42	mraY	96002	97084
14234	b0088	1	7023	+	murD	UDP-N-acetylmuramoyl-L-alanyl-D-glutamatesynthetase (NCBI)	0.549	41	murD	97087	98403
14235	b0089	1	7023	+	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division (NCBI)	0.5301	48	ftsW	98403	99647
14236	b0090	1	7023	+	murG	N-acetylglucosaminyl transferase (NCBI)	0.5609	35	murG	99644	100711
14237	b0091	1	7023	+	murC	UDP-N-acetylmuramate--L-alanine ligase (NCBI)	0.5474	37	murC	100765	102240
14238	b0092	1	7023	+	ddlB	D-alanylalanine synthetase (NCBI)	0.5157	38	ddlB	102233	103153
14239	b0093	1	7023	+	ftsQ	membrane anchored protein involved in growth of wall at septum (NCBI)	0.5331	25	ftsQ	103155	103985
14240	b0094	1	7023	+	ftsA	cell division protein (NCBI)	0.521	41	ftsA	103982	105244
14241	b0095	1	7023	+	ftsZ	cell division protein FtsZ (NCBI)	0.5417	33	ftsZ	105305	106456
14242	b0096	1	7023	+	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (NCBI)	0.5109	30	lpxC	106557	107474
14243	b0097	1	7023	+	yacA	orf, hypothetical protein (VIMSS)	0.54	12	secM	107705	108217
14244	b0098	1	7023	+	secA	translocase (NCBI)	0.524	81	secA	108279	110984
14245	b0099	1	7023	+	mutT	nucleoside triphosphate pyrophosphohydrolase, marked preference for dGTP (NCBI)	0.4923	11	mutT	111044	111433
14247	b0101	1	7023	-	yacG	zinc-binding protein (NCBI)	0.5152	0	yacG	111649	111846
14248	b0102	1	7023	-	yacF	hypothetical protein (NCBI)	0.5148	22	zapD	111856	112599
14249	b0103	1	7023	-	coaE	dephospho-CoA kinase (NCBI)	0.5266	17	coaE	112599	113219
14250	b0104	1	7023	+	guaC	guanosine 5'-monophosphate oxidoreductase (NCBI)	0.5134	29	guaC	113444	114487
14252	b0106	1	7023	-	hofC	assembly protein in type IV pilin biogenesis, transmembrane protein (NCBI)	0.5195	38	hofC	114522	115724
14253	b0107	1	7023	-	hofB	conserved protein with nucleoside triphosphate hydrolase domain (NCBI)	0.5346	52	hofB	115714	117099
14254	b0108	1	7023	-	ppdD	predicted major pilin subunit (NCBI)	0.5306	16	ppdD	117109	117549
14255	b0109	1	7023	-	nadC	nicotinate-nucleotide pyrophosphorylase (NCBI)	0.5313	22	nadC	117752	118645
14256	b0110	1	7023	+	ampD	N-acetyl-anhydromuranmyl-L-alanine amidase (NCBI)	0.538	18	ampD	118733	119284
14257	b0111	1	7023	+	ampE	predicted inner membrane protein (NCBI)	0.5205	28	ampE	119281	120135
14258	b0112	1	7023	-	aroP	aromatic amino acid transporter (NCBI)	0.5269	59	aroP	120178	121551
14259	b0113	1	7023	+	pdhR	transcriptional regulator of pyruvate dehydrogenase complex (NCBI)	0.5582	18	pdhR	122092	122856
14260	b0114	1	7023	+	aceE	pyruvate dehydrogenase subunit E1 (NCBI)	0.5304	86	aceE	123017	125680
14261	b0115	1	7023	+	aceF	dihydrolipoamide acetyltransferase (NCBI)	0.5468	37	aceF	125695	127587
14262	b0116	1	7023	+	lpd	dihydrolipoamide dehydrogenase (NCBI)	0.5305	39	lpd	127912	129336
14263	b0117	1	7023	-	yacH	hypothetical protein (NCBI)	0.5388	55	yacH	129407	131260
14264	b0118	1	7023	+	acnB	aconitate hydratase (NCBI)	0.5589	61	acnB	131615	134212
14265	b0119	1	7023	+	yacL	orf, hypothetical protein (VIMSS)	0.5207	8	yacL	134388	134750
14266	b0120	1	7023	-	speD	S-adenosylmethionine decarboxylase proenzyme (NCBI)	0.4616	40	speD	134788	135582
14267	b0121	1	7023	-	speE	spermidine synthase (NCBI)	0.5075	30	speE	135598	136464
14268	b0122	1	7023	-	yacC	orf, hypothetical protein (VIMSS)	0.5	10	yacC	136570	136917
14269	b0123	1	7023	+	cueO	multicopper oxidase (laccase) (NCBI)	0.5467	42	cueO	137083	138633
14270	b0124	1	7023	-	gcd	glucose dehydrogenase (NCBI)	0.5542	59	gcd	138835	141225
14271	b0125	1	7023	+	hpt	hypoxanthine phosphoribosyltransferase (VIMSS)	0.5065	19	hpt	141431	141967
14272	b0126	1	7023	-	can	carbonic anhydrase (NCBI)	0.5068	21	can	142008	142670
14273	b0127	1	7023	+	yadG	predicted transporter subunit: ATP-binding component of ABC superfamily (NCBI)	0.4962	36	yadG	142779	143705
14274	b0128	1	7023	+	yadH	predicted transporter subunit: membrane component of ABC superfamily (NCBI)	0.5071	25	yadH	143702	144472
14275	b0129	1	7023	+	yadI	predicted PTS Enzyme IIA (NCBI)	0.4921	14	yadI	144577	145017
14276	b0130	1	7023	+	yadE	predicted polysaccharide deacetylase lipoprotein (NCBI)	0.4951	50	yadE	145081	146310
14277	b0131	1	7023	-	panD	aspartate 1-decarboxylase precursor (NCBI)	0.5249	9	panD	146314	146694
14278	b0132	1	7023	+	yadD	predicted transposase (NCBI)	0.4884	31	rpnC	146968	147870
14279	b0133	1	7023	-	panC	pantoate--beta-alanine ligase (NCBI)	0.527	24	panC	147944	148795
14280	b0134	1	7023	-	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase (NCBI)	0.5459	26	panB	148807	149601
14281	b0135	1	7023	-	yadC	predicted fimbrial-like adhesin protein (NCBI)	0.4036	84	yadC	149715	150953
14282	b0136	1	7023	-	yadK	predicted fimbrial-like adhesin protein (NCBI)	0.4137	31	yadK	151003	151599
14283	b0137	1	7023	-	yadL	predicted fimbrial-like adhesin protein (NCBI)	0.4257	29	yadL	151626	152231
14284	b0138	1	7023	-	yadM	putative fimbrial-like protein (VIMSS)	0.4281	30	yadM	152243	152812
14285	b0139	1	7023	-	htrE	predicted outer membrane usher protein (NCBI)	0.4334	141	htrE	152829	155426
14286	b0140	1	7023	-	ecpD	predicted periplasmic pilin chaperone (NCBI)	0.444	36	yadV	155461	156201
14287	b0141	1	7023	-	yadN	predicted fimbrial-like adhesin protein (NCBI)	0.4479	25	yadN	156299	156883
14288	b0142	1	7023	-	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase (NCBI)	0.5	14	folK	157253	157732
14289	b0143	1	7023	-	pcnB	poly(A) polymerase I (VIMSS)	0.5587	49	pcnB	157729	159126
14290	b0144	1	7023	-	yadB	glutamyl-Q tRNA(Asp) synthetase (RefSeq)	0.5361	29	gluQ	159186	160112
14291	b0145	1	7023	-	dksA	DNA-binding transcriptional regulator of rRNA transcription, DnaK suppressor protein (NCBI)	0.5263	12	dksA	160149	160604
14292	b0146	1	7023	-	sfsA	sugar fermentation stimulation protein A (NCBI)	0.4936	28	sfsA	160782	161486
14293	b0147	1	7023	-	yadP	orf, hypothetical protein (VIMSS)	0.5593	13	thpR	161501	162031
14294	b0148	1	7023	+	hrpB	helicase, ATP-dependent (VIMSS)	0.5658	68	hrpB	162105	164534
14295	b0149	1	7023	+	mrcB	penicillin-binding protein 1b (NCBI)	0.5515	67	mrcB	164730	167264
14296	b0150	1	7023	+	fhuA	ferrichrome outer membrane transporter (NCBI)	0.5125	94	fhuA	167484	169727
14297	b0151	1	7023	+	fhuC	iron-hydroxamate transporter subunit (NCBI)	0.5689	15	fhuC	169778	170575
14298	b0152	1	7023	+	fhuD	iron-hydroxamate transporter subunit (NCBI)	0.5466	26	fhuD	170575	171465
14299	b0153	1	7023	+	fhuB	fused iron-hydroxamate transporter subunits of ABC superfamily: membrane components (NCBI)	0.5976	38	fhuB	171462	173444
14300	b0154	1	7023	-	hemL	glutamate-1-semialdehyde aminotransferase (NCBI)	0.555	40	hemL	173602	174882
14301	b0155	1	7023	+	clcA	chloride channel protein (NCBI)	0.5387	55	clcA	175107	176528
14302	b0156	1	7023	+	yadR	hypothetical protein (NCBI)	0.5072	10	erpA	176610	176954
14303	b0157	1	7023	-	yadS	conserved inner membrane protein (NCBI)	0.5369	23	yadS	177001	177624
14304	b0158	1	7023	-	btuF	vitamin B12-transporter protein BtuF (NCBI)	0.5293	19	btuF	177662	178462
14305	b0159	1	7023	-	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (NCBI)	0.5236	19	mtn	178455	179153
14306	b0160	1	7023	+	dgt	deoxyguanosinetriphosphate triphosphohydrolase (NCBI)	0.4796	67	dgt	179237	180754
14307	b0161	1	7023	+	degP	serine endoprotease (protease Do), membrane-associated (NCBI)	0.5396	41	degP	180884	182308
14308	b0162	1	7023	+	yaeG	orf, hypothetical protein (VIMSS)	0.5285	34	cdaR	182463	183620
14309	b0163	1	7023	-	yaeH	hypothetical protein (NCBI)	0.4444	17	yaeH	183709	184095
14310	b0164	1	7023	-	yaeI	orf, hypothetical protein (VIMSS)	0.5141	25	yaeI	184257	185069
14312	b0166	1	7023	-	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase (NCBI)	0.5309	23	dapD	185123	185947
14313	b0167	1	7023	-	glnD	PII uridylyl-transferase (NCBI)	0.5395	81	glnD	185978	188650
14314	b0168	1	7023	-	map	methionine aminopeptidase (NCBI)	0.5044	30	map	188712	189506
1936221	b4414	6	7023	+	tff	unknown RNA (NCBI)	0.5074	8	tff	189712	189847
14315	b0169	1	7023	+	rpsB	30S ribosomal protein S2 (NCBI)	0.5138	18	rpsB	189874	190599
14316	b0170	1	7023	+	tsf	elongation factor Ts (NCBI)	0.4988	20	tsf	190857	191708
14317	b0171	1	7023	+	pyrH	uridylate kinase (NCBI)	0.5275	20	pyrH	191855	192580
14318	b0172	1	7023	+	frr	ribosome releasing factor (NCBI)	0.509	13	frr	192872	193429
14319	b0173	1	7023	+	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase (NCBI)	0.5263	36	dxr	193521	194717
14320	b0174	1	7023	+	ispU	undecaprenyl pyrophosphate synthase (NCBI)	0.5	34	ispU	194903	195664
14321	b0175	1	7023	+	cdsA	CDP-diglyceride synthetase (VIMSS)	0.5082	36	cdsA	195677	196534
14322	b0176	1	7023	+	yaeL	zinc metallopeptidase (NCBI)	0.5092	51	rseP	196546	197898
14323	b0177	1	7023	+	yaeT	hypothetical protein (NCBI)	0.5068	105	bamA	197928	200360
14324	b0178	1	7023	+	hlpA	periplasmic chaperone (NCBI)	0.5021	9	skp	200482	200967
14325	b0179	1	7023	+	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (NCBI)	0.5283	36	lpxD	200971	201996
14326	b0180	1	7023	+	fabZ	(3R)-hydroxymyristoyl ACP dehydratase (NCBI)	0.5044	11	fabZ	202101	202556
14327	b0181	1	7023	+	lpxA	UDP-N-acetylglucosamine acyltransferase (NCBI)	0.5311	26	lpxA	202560	203348
14328	b0182	1	7023	+	lpxB	lipid-A-disaccharide synthase (NCBI)	0.5379	29	lpxB	203348	204496
14329	b0183	1	7023	+	rnhB	ribonuclease HII (NCBI)	0.5729	12	rnhB	204493	205089
14330	b0184	1	7023	+	dnaE	DNA polymerase III subunit alpha (NCBI)	0.5495	109	dnaE	205126	208608
14331	b0185	1	7023	+	accA	acetyl-CoA carboxylase subunit alpha (NCBI)	0.5229	29	accA	208621	209580
14332	b0186	1	7023	+	ldcC	lysine decarboxylase 2, constitutive (NCBI)	0.5089	77	ldcC	209679	211820
14333	b0187	1	7023	+	yaeR	orf, hypothetical protein (VIMSS)	0.5051	10	yaeR	211877	212266
14334	b0188	1	7023	+	tilS	tRNA(Ile)-lysidine synthetase (NCBI)	0.5804	28	tilS	212331	213629
14335	b0189	1	7023	-	yaeO	orf, hypothetical protein (VIMSS)	0.4784	8	rof	213678	213932
1936225	b4406	1	7023	-	yaeP	hypothetical protein (NCBI)	0.5075	6	yaeP	213925	214125
14336	b0190	1	7023	+	yaeQ	hypothetical protein (NCBI)	0.5238	13	yaeQ	214291	214836
14337	b0191	1	7023	+	yaeJ	hypothetical protein (NCBI)	0.5414	10	arfB	214833	215255
14338	b0192	1	7023	+	nlpE	lipoprotein involved with copper homeostasis and adhesion (NCBI)	0.5232	24	nlpE	215269	215979
14339	b0193	1	7023	-	yaeF	orf, hypothetical protein (VIMSS)	0.4933	25	yaeF	216179	217003
14340	b0194	1	7023	-	proS	prolyl-tRNA synthetase (NCBI)	0.5451	46	proS	217057	218775
14341	b0195	1	7023	-	yaeB	hypothetical protein (NCBI)	0.5523	21	trmO	218887	219594
14342	b0196	1	7023	-	rcsF	predicted outer membrane protein, signal (NCBI)	0.5333	12	rcsF	219591	219995
14343	b0197	1	7023	-	metQ	DL-methionine transporter subunit (NCBI)	0.4914	20	metQ	220113	220928
14344	b0198	1	7023	-	metI	DL-methionine transporter subunit (NCBI)	0.5229	28	metI	220968	221621
14345	b0199	1	7023	-	metN	DL-methionine transporter subunit (NCBI)	0.5291	26	metN	221614	222645
14346	b0200	1	7023	+	gmhB	hypothetical protein (NCBI)	0.5017	25	gmhB	222833	223408
1936227	b0201	3	7023	+	rrsH	16S ribosomal RNA (NCBI)	0.5435	54	rrsH	223771	225312
1936228	b0202	5	7023	+	ileV	tRNA-Ile (NCBI)	0.5714	2	ileV	225381	225457
1936229	b0203	5	7023	+	alaV	tRNA-Ala (NCBI)	0.6316	1	alaV	225500	225575
1936230	b0204	2	7023	+	rrlH	23S ribosomal RNA (NCBI)	0.5324	118	rrlH	225759	228662
1936231	b0205	4	7023	+	rrfH	5S ribosomal RNA (NCBI)	0.6417	4	rrfH	228756	228875
1936232	b0206	5	7023	+	aspU	tRNA-Asp (NCBI)	0.6364	2	aspU	228928	229004
14347	b0207	1	7023	+	dkgB	2,5-diketo-D-gluconate reductase B (NCBI)	0.4627	35	dkgB	229167	229970
14348	b0208	1	7023	-	yafC	predicted DNA-binding transcriptional regulator (NCBI)	0.4962	40	yafC	229967	230881
14349	b0209	1	7023	+	yafD	hypothetical protein (NCBI)	0.5268	35	yafD	231122	231922
14350	b0210	1	7023	+	yafE	predicted S-adenosyl-L-methionine-dependent methyltransferase (NCBI)	0.4904	31	yafE	231926	232549
14351	b0211	1	7023	-	mltD	predicted membrane-bound lytic murein transglycosylase D (NCBI)	0.5195	48	mltD	232597	233955
14352	b0212	1	7023	-	gloB	predicted hydroxyacylglutathione hydrolase (NCBI)	0.4021	42	gloB	234027	234782
14353	b0213	1	7023	+	yafS	orf, hypothetical protein (VIMSS)	0.4938	26	yafS	234816	235538
14354	b0214	1	7023	-	rnhA	ribonuclease H (NCBI)	0.5043	15	rnhA	235535	236002
14355	b0215	1	7023	+	dnaQ	DNA polymerase III subunit epsilon (NCBI)	0.5014	28	dnaQ	236067	236798
1936234	b0216	5	7023	+	aspV	tRNA-Asp (NCBI)	0.6364	2	aspV	236931	237007
14356	b0217	1	7023	+	yafT	predicted aminopeptidase (NCBI)	0.4275	35	yafT	237335	238120
3446138	b4586	1	7023	-	ykfM	hypothetical protein, no homologs (RefSeq)	0.3063	42	ykfM	238257	238736
14357	b0218	7	7023	-	yafU	predicted inner membrane protein (RefSeq)	0.3838	16	yafU	238746	239084
1936235	b4503	7	7023	+	yafF	NA	0.4725	13	yafF	239190	239378
14358	b0219	1	7023	-	yafV	predicted C-N hydrolase family amidase, NAD(P)-binding (NCBI)	0.5473	25	yafV	239419	240189
14359	b0220	1	7023	+	ivy	inhibitor of vertebrate C-lysozyme (NCBI)	0.5	14	ivy	240343	240816
14360	b0221	1	7023	-	yafH	putative acyl-CoA dehydrogenase (EC 1.3.99.-) (VIMSS)	0.5689	63	fadE	240859	243303
14361	b0222	1	7023	+	lpcA	phosphoheptose isomerase (NCBI)	0.5095	20	gmhA	243543	244121
14362	b0223	1	7023	+	yafJ	predicted amidotransfease (NCBI)	0.5365	30	yafJ	244327	245094
14363	b0224	1	7023	-	yafK	hypothetical protein (NCBI)	0.4845	38	dpaA	245065	245805
14364	b0225	1	7023	-	yafQ	predicted toxin of the YafQ-DinJ toxin-antitoxin system (NCBI)	0.3943	18	yafQ	245961	246239
14365	b0226	1	7023	-	dinJ	predicted antitoxin of YafQ-DinJ toxin-antitoxin system (NCBI)	0.4674	6	dinJ	246242	246502
14366	b0227	1	7023	+	yafL	predicted lipoprotein and C40 family peptidase (NCBI)	0.524	28	yafL	246712	247461
14367	b0228	1	7023	+	yafM	hypothetical protein (NCBI)	0.4478	23	rayT	247637	248134
14368	b0229	7	7023	-	lfhA	flagellar biosynthesis (VIMSS)	0.5803	46	lfhA	248358	250070
14369	b0230	7	7023	+	mbhA	putative motility protein (VIMSS)	0.5278	24	lafU	250072	250827
14370	b0231	1	7023	+	dinB	DNA polymerase IV (NCBI)	0.5417	28	dinB	250898	251953
14371	b0232	1	7023	+	yafN	predicted antitoxin of the YafO-YafN toxin-antitoxin system (NCBI)	0.4218	17	yafN	252005	252298
14372	b0233	1	7023	+	yafO	predicted toxin of the YafO-YafN toxin-antitoxin system (NCBI)	0.4361	16	yafO	252301	252699
14373	b0234	1	7023	+	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain (NCBI)	0.4327	18	yafP	252709	253161
14374	b0235	7	7023	+	ykfJ	hypothetical protein (RefSeq)	0.5121	9	ykfJ	253467	253733
14375	b0236	7	7023	+	prfH	peptide chain release factor 2 (NCBI)	0.5429	13	prfH	253702	254202
14376	b0237	1	7023	-	pepD	aminoacyl-histidine dipeptidase (peptidase D) (NCBI)	0.5137	47	pepD	254259	255716
14377	b0238	1	7023	+	gpt	xanthine phosphoribosyltransferase (NCBI)	0.5185	17	gpt	255977	256435
14378	b0239	1	7023	+	frsA	fermentation/respiration switch protein (NCBI)	0.5365	38	frsA	256527	257771
14379	b0240	1	7023	+	crl	DNA-binding transcriptional regulator (NCBI)	0.505	12	crl	NA	NA
