locusId	sysName	type	scaffoldId	begin	end	strand	old_name	desc	GC	nTA	name
1936230	b0204	2	7023	225759	228662	+	rrlH	23S ribosomal RNA (NCBI)	0.5324	118	rrlH
1936231	b0205	4	7023	228756	228875	+	rrfH	5S ribosomal RNA (NCBI)	0.6417	4	rrfH
1936232	b0206	5	7023	228928	229004	+	aspU	tRNA-Asp (NCBI)	0.6364	2	aspU
14354	b0214	1	7023	235535	236002	-	rnhA	ribonuclease H (NCBI)	0.5043	15	rnhA
14355	b0215	1	7023	236067	236798	+	dnaQ	DNA polymerase III subunit epsilon (NCBI)	0.5014	28	dnaQ
3446138	b4586	1	7023	238257	238736	-	ykfM	hypothetical protein, no homologs (RefSeq)	0.3063	42	ykfM
1936235	b4503	7	7023	239106	239378	+	yafF	NA	0.4725	13	yafF
14371	b0232	1	7023	252005	252298	+	yafN	predicted antitoxin of the YafO-YafN toxin-antitoxin system (NCBI)	0.4218	17	yafN
14373	b0234	1	7023	252709	253161	+	yafP	predicted acyltransferase with acyl-CoA N-acyltransferase domain (NCBI)	0.4327	18	yafP
3446140	b4626	7	7023	262374	262436	-	ykfN	NA	0.3333	4	ykfN
3446144	b4628	7	7023	266000	266191	-	ykfK	NA	0.5833	3	ykfK
14394	b0256	1	7023	269827	270978	+	insI-1	CP4-6 prophage; IS30 transposase (NCBI)	0.4583	53	insI1
7497339	b4690	6	7023	271804	271878	+	eyeA	Novel sRNA, function unknown, CP4-6 prophage (RefSeq)	0.56	1	eyeA
14397	b0259	1	7023	273325	274341	-	insH-1	CP4-6 prophage; IS5 transposase and trans-activator (NCBI)	0.5467	13	insH1
14402	b0264	1	7023	278402	278905	-	insB-2	CP4-6 prophage; IS1 transposase InsAB' (NCBI)	0.5516	16	insB2
14403	b0265	1	7023	278824	279099	-	insA-2	CP4-6 prophage; IS1 repressor protein InsA (NCBI)	0.5326	8	insA2
7497340	b4688	7	7023	289653	289857	+	ykgS	NA	0.4293	7	ykgS
14412	b0274	1	7023	289873	290376	-	insB-3	CP4-6 prophage; IS1 transposase InsAB' (NCBI)	0.5516	16	insB3
14413	b0275	1	7023	290295	290570	-	insA-3	CP4-6 prophage; IS1 repressor protein InsA (NCBI)	0.5326	8	insA3
14417	b0279	1	7023	293169	294023	-	yagM	CP4-6 prophage; predicted protein (NCBI)	0.3626	53	yagM
3446148	b4629	8	7023	296430	296478	+	ptwF	tRNA-OTHER (RefSeq)	0.5102	4	NA
7497343	b4671	1	7023	312365	312466	-	ykgR	expressed protein (RefSeq)	0.2843	9	ykgR
14436	b0298	1	7023	314515	314814	+	insE	IS3 element protein InsE (RefSeq)	0.5	7	insE1
14437	b0299	1	7023	314811	315677	+	insF-1	IS3 element protein InsF (NCBI)	0.5513	29	insF1
14441	b0303	1	7023	317555	317791	-	ykgI	orf, hypothetical protein (VIMSS)	0.3544	14	rclB
14498	b0360	1	7023	380575	380940	+	insC	KpLE2 phage-like element; IS2 insertion element repressor InsA (RefSeq)	0.5301	9	insC1
14499	b0361	1	7023	380898	381803	+	insD-1	IS2 insertion element transposase InsAB' (NCBI)	0.5508	25	insD1
14507	b0369	1	7023	387977	388951	-	hemB	5-aminolevulinate dehydratase = porphobilinogen synthase (VIMSS)	0.5395	23	hemB
14510	b0372	1	7023	390963	391829	-	insF-2	IS3 element protein InsF (NCBI)	0.5513	28	insF2
14511	b0373	1	7023	391826	392125	-	insE	IS3 element protein InsE (RefSeq)	0.5	7	insE2
14546	b0408	1	7023	426871	428718	+	secD	protein export protein SecD (NCBI)	0.5319	59	secD
14547	b0409	1	7023	428729	429700	+	secF	protein export protein SecF (NCBI)	0.5165	40	secF
14551	b0413	1	7023	432226	432675	+	ybaD	hypothetical protein (NCBI)	0.5133	12	nrdR
14552	b0414	1	7023	432679	433782	+	ribD	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase and 5-amino-6-(5-phosphoribosylamino) uracil reductase (NCBI)	0.5534	34	ribD
14553	b0415	1	7023	433871	434341	+	ribE	riboflavin synthase subunit beta (NCBI)	0.5223	11	ribE
14554	b0416	1	7023	434361	434780	+	nusB	transcription antitermination protein NusB (NCBI)	0.5381	17	nusB
14555	b0417	1	7023	434858	435835	+	thiL	thiamine monophosphate kinase (NCBI)	0.544	30	thiL
14558	b0420	1	7023	437539	439401	-	dxs	1-deoxy-D-xylulose-5-phosphate synthase (NCBI)	0.5427	47	dxs
14559	b0421	1	7023	439426	440325	-	ispA	geranyltranstransferase (NCBI)	0.5422	28	ispA
14560	b0422	1	7023	440325	440567	-	xseB	exodeoxyribonuclease VII small subunit (NCBI)	0.5514	4	xseB
14577	b0439	1	7023	458112	460466	+	lon	DNA-binding ATP-dependent protease La (NCBI)	0.5231	64	lon
1936286	b0455	6	7023	475672	475785	+	ffs	4.5S RNA (NCBI)	0.6404	3	ffs
14603	b0466	1	7023	489334	489495	-	ybaM	hypothetical protein (NCBI)	0.4815	5	ybaM
14607	b0470	1	7023	491316	493247	+	dnaX	DNA polymerase III subunits gamma and tau (NCBI)	0.5766	35	dnaX
14611	b0474	1	7023	496399	497043	+	adk	adenylate kinase (NCBI)	0.5178	25	adk
14612	b0475	1	7023	497279	498241	+	hemH	ferrochelatase (NCBI)	0.5389	30	hemH
14635	b0498	1	7023	526805	527173	+	ybbC	hypothetical protein (NCBI)	0.30620000000000003	35	ybbC
14637	b0500	7	7023	527864	528354	+	ybbD	hypothetical protein (RefSeq)	0.3279	39	NA
14661	b0524	1	7023	552441	553163	-	lpxH	UDP-2,3-diacylglucosamine hydrolase (NCBI)	0.545	14	lpxH
14662	b0525	1	7023	553166	553660	-	ppiB	peptidyl-prolyl cis-trans isomerase B (rotamase B) (NCBI)	0.4788	14	ppiB
14663	b0526	1	7023	553834	555219	+	cysS	cysteinyl-tRNA synthetase (NCBI)	0.5447	32	cysS
14665	b0528	1	7023	555884	556096	-	ybcJ	orf, hypothetical protein (VIMSS)	0.5493	0	ybcJ
14666	b0529	1	7023	556098	556964	-	folD	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase (NCBI)	0.5433	23	folD
1936299	b0536	5	7023	563946	564022	+	argU	tRNA-Arg (NCBI)	0.6104	2	argU
14676	b0540	1	7023	566065	566364	+	insE	IS3 element protein InsE (RefSeq)	0.5	7	insE3
14677	b0541	1	7023	566361	567227	+	insF-3	DLP12 prophage; IS3 element protein InsF (NCBI)	0.5513	29	insF3
14680	b0544	1	7023	568125	569651	+	ybcK	DLP12 prophage; predicted recombinase (NCBI)	0.3556	96	ybcK
14688	b0552	1	7023	573960	574976	-	insH-2	DLP12 prophage; IS5 transposase and trans-activator (NCBI)	0.5467	13	insH2
1936303	b4510	1	7023	577550	577732	+	rzoD	DLP12 prophage; predicted lipoprotein (NCBI)	0.5683	2	rzoD
14694	b0558	1	7023	578407	578817	-	ybcV	putative an envelop protein (VIMSS)	0.3163	35	ybcV
3446163	b4635	8	7023	585280	585324	+	pauD	tRNA-OTHER (RefSeq)	0.6444	0	NA
10279116	b4700	6	7023	606957	607015	+	sokE	sRNA at remnant mokE/hokE locus (RefSeq)	0.5254	2	b4700
14718	b0582	1	7023	607288	608400	+	insL-2	IS186/IS421 transposase (NCBI)	0.5193	33	insL2
1936309	b4512	1	7023	631405	631602	+	ybdD	hypothetical protein (NCBI)	0.5202	9	ybdD
14740	b0603	1	7023	635939	636841	-	ybdO	predicted DNA-binding transcriptional regulator (NCBI)	0.3865	53	citR
14751	b0614	1	7023	646707	647258	-	citX	2'-(5'-triphosphoribosyl)-3'-dephospho-CoA:apo- citrate lyase (NCBI)	0.5833	8	citX
14765	b0628	1	7023	658474	659439	-	lipA	lipoyl synthase (NCBI)	0.5342	26	lipA
14767	b0630	1	7023	660860	661501	-	lipB	protein of lipoate biosynthesis (VIMSS)	0.4766	29	lipB
14768	b0631	1	7023	661602	661865	-	ybeD	hypothetical protein (NCBI)	0.4621	14	ybeD
14771	b0634	1	7023	664424	665536	-	mrdB	cell wall shape-determining protein (NCBI)	0.5202	43	mrdB
14772	b0635	1	7023	665539	667440	-	mrdA	transpeptidase involved in peptidoglycan synthesis (penicillin-binding protein 2) (NCBI)	0.5252	84	mrdA
14774	b0637	1	7023	667942	668259	-	ybeB	orf, hypothetical protein (VIMSS)	0.5126	6	rsfS
14776	b0639	1	7023	669154	669795	-	nadD	nicotinic acid mononucleotide adenyltransferase (NCBI)	0.5	18	nadD
14777	b0640	1	7023	669797	670828	-	holA	DNA polymerase III subunit delta (NCBI)	0.5233	27	holA
14779	b0642	1	7023	671424	674006	-	leuS	leucyl-tRNA synthetase (NCBI)	0.5335	88	leuS
14793	b0656	1	7023	687220	688236	-	insH-3	IS5 transposase and trans-activator (NCBI)	0.5467	13	insH3
14794	b0657	1	7023	688566	690104	-	lnt	apolipoprotein N-acyltransferase (NCBI)	0.5569	53	lnt
14795	b0658	1	7023	690129	691007	-	ybeX	predicteed ion transport (NCBI)	0.5154	19	ybeX
14796	b0659	1	7023	691097	691564	-	ybeY	hypothetical protein (NCBI)	0.5171	11	ybeY
14799	b0662	1	7023	694324	695499	+	ubiF	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (NCBI)	0.5714	33	ubiF
1936319	b0664	5	7023	695653	695727	-	glnX	tRNA-Gln (NCBI)	0.5867	2	glnX
1936321	b0666	5	7023	695887	695963	-	metU	tRNA-Met (NCBI)	0.5195	3	metU
1936322	b0668	5	7023	695979	696053	-	glnW	tRNA-Gln (NCBI)	0.5733	3	glnW
1936323	b0670	5	7023	696088	696162	-	glnU	tRNA-Gln (NCBI)	0.5733	3	glnU
1936324	b0672	5	7023	696186	696270	-	leuW	tRNA-Leu (NCBI)	0.6	2	leuW
1936325	b0673	5	7023	696280	696356	-	metT	tRNA-Met (NCBI)	0.5195	3	metT
14810	b0680	1	7023	705316	706980	+	glnS	glutaminyl-tRNA synthetase (NCBI)	0.5249	57	glnS
14813	b0683	1	7023	709423	709869	-	fur	ferric uptake regulator (NCBI)	0.4787	16	fur
3446164	b4637	1	7023	709862	709948	-	uof	ryhB-regulated fur leader peptide (RefSeq)	0.4023	4	uof
14814	b0684	1	7023	710158	710688	-	fldA	flavodoxin 1 (NCBI)	0.4896	9	fldA
14817	b0687	1	7023	712210	712755	+	seqA	regulatory protein for replication initiation (NCBI)	0.4963	15	seqA
14818	b0688	1	7023	712781	714421	+	pgm	phosphoglucomutase (NCBI)	0.5527	39	pgm
14832	b0699	1	7023	728357	728563	+	ybfA	hypothetical protein (NCBI)	0.5024	7	ybfA
14834	b0702	1	7023	732999	733325	+	ybfB	predicted inner membrane protein (NCBI)	0.3119	33	ybfB
14836	b0704	1	7023	734873	735442	+	ybfC	hypothetical protein (NCBI)	0.3667	33	ybfC
1936330	b4514	7	7023	735668	735907	+	ybfQ	NA	0.3792	13	ybfQ
14837	b0705	7	7023	736048	737184	+	ybfL	putative receptor protein (VIMSS)	0.4125	44	ybfL
14862	b0730	1	7023	764376	765098	-	mngR	DNA-binding transcriptional dual regulator, fatty-acyl-binding (NCBI)	0.4813	21	mngR
14865	b0733	1	7023	770681	772249	+	cydA	cytochrome d terminal oxidase, polypeptide subunit I (VIMSS)	0.529	44	cydA
14866	b0734	1	7023	772265	773404	+	cydB	cytochrome d terminal oxidase, subunit II (NCBI)	0.5386	36	cydB
14869	b0737	1	7023	774376	775068	+	tolQ	membrane spanning protein in TolA-TolQ-TolR complex (NCBI)	0.5051	24	tolQ
14870	b0738	1	7023	775072	775500	+	tolR	membrane spanning protein in TolA-TolQ-TolR complex (NCBI)	0.5175	14	tolR
14871	b0739	1	7023	775565	776830	+	tolA	cell envelope integrity inner membrane protein TolA (NCBI)	0.5229	27	tolA
14872	b0740	1	7023	776963	778255	+	tolB	translocation protein TolB precursor (NCBI)	0.5313	45	tolB
1936337	b0743	5	7023	779777	779852	+	lysT	tRNA-Lys (NCBI)	0.5	2	lysT
1936338	b0744	5	7023	779988	780063	+	valT	tRNA-Val (NCBI)	0.6184	1	valT
1936339	b0745	5	7023	780066	780141	+	lysW	tRNA-Lys (NCBI)	0.5	2	lysW
1936341	b0747	5	7023	780370	780445	+	lysY	tRNA-Lys (NCBI)	0.5	2	lysY
1936342	b0748	5	7023	780592	780667	+	lysZ	tRNA-Lys (NCBI)	0.5	2	lysZ
1936343	b0749	5	7023	780800	780875	+	lysQ	tRNA-Lys (NCBI)	0.5	2	lysQ
14887	b0762	1	7023	793996	794145	+	ybhT	hypothetical protein (NCBI)	0.4133	6	acrZ
14941	b0816	1	7023	851894	852163	+	yliL	hypothetical protein (NCBI)	0.5074	9	yliL
1936357	b4417	6	7023	887199	887277	-	rybB	unknown RNA (NCBI)	0.4557	0	rybB
1936364	b0883	5	7023	925107	925194	-	serW	tRNA-Ser (NCBI)	0.6136	3	serW
15008	b0884	1	7023	925448	925666	-	infA	translation initiation factor IF-1 (NCBI)	0.484	9	infA
15010	b0886	1	7023	926697	928418	-	cydC	fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component (NCBI)	0.5377	50	cydC
15011	b0887	1	7023	928419	930185	-	cydD	fused cysteine transporter subunits of ABC superfamily: membrane component/ATP-binding component (NCBI)	0.5365	56	cydD
15014	b0890	1	7023	932447	936436	+	ftsK	DNA-binding membrane protein required for chromosome resolution and partitioning (NCBI)	0.5401	126	ftsK
15015	b0891	1	7023	936595	937206	+	lolA	chaperone for lipoproteins (RefSeq)	0.5098	16	lolA
15017	b0893	1	7023	938651	939943	+	serS	seryl-tRNA synthetase (NCBI)	0.5267	33	serS
15034	b0910	1	7023	960424	961107	+	cmk	cytidylate kinase (NCBI)	0.5365	16	cmk
15035	b0911	1	7023	961218	962891	+	rpsA	30S ribosomal protein S1 (NCBI)	0.5119	47	rpsA
15038	b0914	1	7023	965844	967592	+	msbA	fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component (NCBI)	0.5089	52	msbA
15039	b0915	1	7023	967589	968575	+	lpxK	tetraacyldisaccharide 4'-kinase (NCBI)	0.5471	28	lpxK
15041	b0917	1	7023	969896	970078	+	ycaR	hypothetical protein (NCBI)	0.4809	3	ycaR
15042	b0918	1	7023	970075	970821	+	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase (NCBI)	0.5274	17	kdsB
15046	b0922	1	7023	973542	974864	+	mukF	condesin subunit F (NCBI)	0.5283	36	mukF
15047	b0923	1	7023	974845	975549	+	mukE	protein involved in chromosome partitioning (RefSeq)	0.5163	18	mukE
15048	b0924	1	7023	975549	980009	+	mukB	cell division protein MukB (NCBI)	0.5566	94	mukB
15054	b0930	1	7023	986808	988208	-	asnS	asparaginyl-tRNA synthetase (NCBI)	0.5239	41	asnS
15078	b0954	1	7023	1015175	1015693	-	fabA	3-hydroxydecanoyl-ACP dehydratase (NCBI)	0.5318	16	fabA
15080	b0956	1	7023	1017708	1018160	+	ycbG	hypothetical protein (NCBI)	0.4614	13	matP
15093	b0969	1	7023	1029562	1029891	-	yccK	putative sulfite reductase (EC 1.8.-.-) (VIMSS)	0.4667	12	tusE
1936382	b0971	5	7023	1030848	1030935	-	serT	tRNA-Ser (NCBI)	0.6023	0	serT
1936385	b4516	1	7023	1049056	1049331	+	insA-4	IS1 repressor protein InsA (NCBI)	0.529	8	insA4
15112	b0988	1	7023	1049250	1049753	+	insB-4	IS1 transposase InsAB' (NCBI)	0.5476	17	insB4
15114	b0990	1	7023	1050684	1050896	+	cspG	DNA-binding transcriptional regulator (NCBI)	0.4413	6	cspG
1936386	b4517	1	7023	1051290	1051463	+	gnsA	predicted regulator of phosphatidylethanolamine synthesis (NCBI)	0.3966	3	gnsA
15125	b1001	1	7023	1063259	1064515	+	yccE	hypothetical protein (NCBI)	0.3413	89	yccE
15127	b1003	1	7023	1066087	1066314	-	yccJ	hypothetical protein (NCBI)	0.4693	7	yccJ
15129	b4518	1	7023	1067304	1067477	+	ycdF	orf, hypothetical protein (VIMSS)	0.5115	4	ymdF
15148	b1025	1	7023	1092099	1093457	+	ycdT	predicted diguanylate cyclase (NCBI)	0.3856	87	dgcT
15149	b1026	1	7023	1093498	1094364	-	insF-4	IS3 element protein InsF (NCBI)	0.5513	28	insF4
15150	b1027	1	7023	1094361	1094660	-	insE	IS3 element protein InsE (RefSeq)	0.5	7	insE4
1936397	b1032	5	7023	1096788	1096875	-	serX	tRNA-Ser (NCBI)	0.6136	3	serX
15162	b1040	1	7023	1101769	1102419	-	csgD	DNA-binding transcriptional activator in two-component regulatory system (NCBI)	0.4178	38	csgD
15172	b1050	1	7023	1112802	1113029	+	yceK	predicted lipoprotein (NCBI)	0.5044	9	yceK
15173	b1051	1	7023	1113030	1113404	-	msyB	acidic protein suppresses mutants lacking function of protein export (VIMSS)	0.5013	10	msyB
15176	b1054	1	7023	1114885	1115805	-	lpxL	lipid A biosynthesis lauroyl acyltransferase (NCBI)	0.5299	22	lpxL
15180	b1058	1	7023	1118530	1118670	-	yceO	hypothetical protein (NCBI)	0.3759	8	yceO
15191	b1069	1	7023	1127062	1128597	+	mviN	predicted inner membrane protein (NCBI)	0.5371	41	murJ
15211	b1089	1	7023	1146590	1146763	+	rpmF	50S ribosomal protein L32 (NCBI)	0.5402	4	rpmF
15213	b1091	1	7023	1147982	1148935	+	fabH	3-oxoacyl-(acyl carrier protein) synthase (NCBI)	0.5472	25	fabH
15214	b1092	1	7023	1148951	1149880	+	fabD	acyl carrier protein S-malonyltransferase (NCBI)	0.5516	26	fabD
15215	b1093	1	7023	1149893	1150627	+	fabG	3-oxoacyl-[acyl-carrier-protein] reductase (NCBI)	0.5156	24	fabG
15216	b1094	1	7023	1150838	1151074	+	acpP	acyl carrier protein (NCBI)	0.481	5	acpP
15220	b1098	1	7023	1154347	1154988	+	tmk	thymidylate kinase (NCBI)	0.5405	22	tmk
15221	b1099	1	7023	1154985	1155989	+	holB	DNA polymerase III subunit delta' (NCBI)	0.5403	33	holB
15234	b1112	1	7023	1168296	1168553	+	ycfR	hypothetical protein (NCBI)	0.4729	7	bhsA
15238	b1116	1	7023	1174650	1175849	+	lolC	outer membrane-specific lipoprotein transporter subunit (NCBI)	0.5417	39	lolC
15239	b1117	1	7023	1175842	1176543	+	ycfV	putative ATP-binding component of a transport system (VIMSS)	0.5513	16	lolD
15240	b1118	1	7023	1176543	1177787	+	lolE	outer membrane-specific lipoprotein transporter subunit (NCBI)	0.5189	45	lolE
15243	b1121	1	7023	1179702	1180490	-	ycfZ	predicted inner membrane protein (NCBI)	0.4259	47	ycfZ
15251	b1129	1	7023	1187539	1188999	-	phoQ	sensory histidine kinase in two-compoent regulatory system with PhoP (NCBI)	0.5133	48	phoQ
15252	b1130	1	7023	1188999	1189670	-	phoP	DNA-binding response regulator in two-component regulatory system with PhoQ (NCBI)	0.4777	28	phoP
15253	b1131	1	7023	1189839	1191209	-	purB	adenylosuccinate lyase (NCBI)	0.523	43	purB
15255	b1133	1	7023	1191890	1192996	-	ycfB	orf, hypothetical protein (VIMSS)	0.5375	31	mnmA
15258	b1136	1	7023	1194346	1195596	+	icd	isocitrate dehydrogenase (NCBI)	0.502	39	icd
15259	b1137	1	7023	1196090	1196755	-	ymfD	e14 prophage; predicted SAM-dependent methyltransferase (NCBI)	0.3483	43	ymfD
15267	b1145	1	7023	1201482	1202156	-	ymfK	e14 prophage; repressor protein phage e14 (NCBI)	0.4444	27	ymfK
15268	b1146	1	7023	1202247	1202447	+	b1146	orf, hypothetical protein (VIMSS)	0.4279	9	ymfT
15282	b1160	1	7023	1210903	1211226	-	elbA	hypothetical protein (NCBI)	0.3395	30	iraM
15283	b1161	1	7023	1211926	1212330	-	ycgX	hypothetical protein (NCBI)	0.3679	28	ycgX
15287	b1165	1	7023	1215291	1215563	+	ymgA	hypothetical protein (NCBI)	0.37	14	ymgA
15288	b1166	1	7023	1215592	1215858	+	ymgB	hypothetical protein (NCBI)	0.3483	18	ariR
15289	b1167	1	7023	1215971	1216219	+	ymgC	hypothetical protein (NCBI)	0.3574	17	ymgC
1936424	b4520	1	7023	1218206	1218424	+	ymgF	hypothetical protein (NCBI)	0.4018	11	ymgF
3446170	b4593	1	7023	1222213	1222386	-	ymgI	hypothetical protein (RefSeq)	0.3218	12	ymgI
15296	b1174	1	7023	1223502	1223768	-	minE	cell division topological specificity factor MinE (NCBI)	0.4345	11	minE
